Timeline,olbi1,olbi2,olbi2r,olbi3,olbi3r,olbi4,olbi4r,olbi5,olbi6,olbi6r,olbi7,olbi8,olbi8r,olbi9,olbi9r,olbi10,olbi11,olbi11r,olbi12,olbi12r,olbi13,olbi14,olbi15,olbi16,olbi16r,Gender,Age,Education_level
16343,2,2,3,2,3,1,4,2,4,1,2,2,3,2,3,2,4,1,2,3,4,1,1,1,4,2,1971,2
16343,2,3,2,4,1,4,1,1,3,2,3,3,2,4,1,1,2,3,2,3,4,1,2,3,2,2,1952,2
16344,1,3,2,4,1,4,1,2,3,2,1,3,2,1,4,2,4,1,3,2,2,2,2,2,3,1,1981,4
16344,2,3,2,4,1,2,3,1,2,3,2,3,2,3,2,1,3,2,2,3,3,1,3,1,4,1,1978,2
16344,2,1,4,2,3,2,3,3,2,3,3,2,3,3,2,3,2,3,2,3,4,3,2,1,4,1,1988,3
16344,3,2,3,3,2,3,2,2,2,3,2,3,2,2,3,2,2,3,2,3,3,2,2,3,2,1,1975,4
16344,1,4,1,4,1,4,1,1,4,1,1,4,1,4,1,1,4,1,2,3,3,1,2,2,3,1,1989,3
16344,1,4,1,4,1,4,1,4,4,1,1,4,1,4,1,2,4,1,4,1,2,2,4,4,1,1,1984,1
16344,2,2,3,3,2,2,3,2,3,2,1,3,2,4,1,2,4,1,3,2,3,2,3,2,3,1,1974,5
16344,2,2,3,3,2,1,4,1,4,1,1,2,3,4,1,3,4,1,3,2,4,1,3,3,2,1,1988,4
16344,2,2,3,4,1,2,3,2,3,2,2,3,2,4,1,3,4,1,3,2,4,1,1,1,4,1,1978,2
16344,1,2,3,3,2,1,4,1,1,4,1,2,3,1,4,4,4,1,1,4,4,1,3,3,2,1, ,3
16344,4,1,4,2,3,3,2,2,1,4,4,3,2,1,4,2,3,2,3,2,4,1,3,3,2,2,1982,6
16344,1,1,4,3,2,1,4,3,3,2,2,1,4,3,2,3,3,2,2,3,3,2,2,3,2,1,1987,4
16344,1,2,3,3,2,2,3,2,1,4,1,1,4,3,2,3,4,1,2,3,2,1,1,1,4,2,1967,2
16344,1,3,2,4,1,3,2,3,3,2,2,4,1,4,1,1,4,1,3,2,3,2,3,1,4,2,1984,4
16344,1,3,2,4,1,1,4,1,4,1,1,4,1,3,2,1,4,1,3,2,4,1,1,1,4,1,1984,3
16344,1,4,1,4,1,1,4,4,3,2,1,1,4,3,2,3,3,2,3,2,2,4,1,3,2,1,1968,2
16344,2,2,3,3,2,2,3,3,3,2,3,2,3,2,3,3,2,3,2,3,3,2,2,3,2,1,1969,4
